Scheduling Policy,ClusterTarget,SMTarget,faultID,X,Y,Golden,GoldenHexa,Faulty, FaultyHexa
TwoLevelRoundRobin,0,0,1,10,2,27.34375,0x4ed6,26.078125,0x4e85
TwoLevelRoundRobin,0,0,1,10,6,27.859375,0x4ef7,26.765625,0x4eb1
TwoLevelRoundRobin,0,0,1,26,2,31.9375,0x4ffc,30.96875,0x4fbe
TwoLevelRoundRobin,0,0,1,26,6,28.234375,0x4f0f,27.3125,0x4ed4
TwoLevelRoundRobin,0,0,1,42,82,32.65625,0x5015,30.796875,0x4fb3
TwoLevelRoundRobin,0,0,1,42,86,28.15625,0x4f0a,26.546875,0x4ea3
TwoLevelRoundRobin,0,0,1,58,18,30.9375,0x4fbc,29.703125,0x4f6d
TwoLevelRoundRobin,0,0,1,58,22,30.96875,0x4fbe,30.0,0x4f80
TwoLevelRoundRobin,0,0,1,74,50,30.0625,0x4f84,28.84375,0x4f36
TwoLevelRoundRobin,0,0,1,74,54,30.171875,0x4f8b,28.875,0x4f38
TwoLevelRoundRobin,0,0,1,90,114,31.4375,0x4fdc,30.890625,0x4fb9
TwoLevelRoundRobin,0,0,1,90,118,27.625,0x4ee8,27.015625,0x4ec1
TwoLevelRoundRobin,0,0,1,106,50,29.734375,0x4f6f,29.109375,0x4f47
TwoLevelRoundRobin,0,0,1,106,54,27.15625,0x4eca,26.34375,0x4e96
GlobalRoundRobin,0,0,1,10,2,27.34375,0x4ed6,26.078125,0x4e85
GlobalRoundRobin,0,0,1,10,6,27.859375,0x4ef7,26.765625,0x4eb1
GlobalRoundRobin,0,0,1,26,2,31.9375,0x4ffc,30.96875,0x4fbe
GlobalRoundRobin,0,0,1,26,6,28.234375,0x4f0f,27.3125,0x4ed4
GlobalRoundRobin,0,0,1,42,66,27.015625,0x4ec1,25.78125,0x4e72
GlobalRoundRobin,0,0,1,42,70,28.96875,0x4f3e,27.34375,0x4ed6
GlobalRoundRobin,0,0,1,58,114,32.9375,0x501e,31.984375,0x4fff
GlobalRoundRobin,0,0,1,58,118,30.390625,0x4f99,29.0,0x4f40
GlobalRoundRobin,0,0,1,74,50,30.0625,0x4f84,28.84375,0x4f36
GlobalRoundRobin,0,0,1,74,54,30.171875,0x4f8b,28.875,0x4f38
GlobalRoundRobin,0,0,1,90,98,31.75,0x4ff0,30.78125,0x4fb2
GlobalRoundRobin,0,0,1,90,102,29.734375,0x4f6f,28.796875,0x4f33
GlobalRoundRobin,0,0,1,106,2,29.625,0x4f68,28.640625,0x4f29
GlobalRoundRobin,0,0,1,106,6,28.625,0x4f28,27.625,0x4ee8
Greedy,0,0,1,10,2,27.34375,0x4ed6,26.078125,0x4e85
Greedy,0,0,1,10,6,27.859375,0x4ef7,26.765625,0x4eb1
Greedy,0,0,1,10,66,25.515625,0x4e61,24.8125,0x4e34
Greedy,0,0,1,10,70,27.671875,0x4eeb,26.390625,0x4e99
Greedy,0,0,1,58,50,32.0625,0x5002,30.71875,0x4fae
Greedy,0,0,1,58,54,31.296875,0x4fd3,30.09375,0x4f86
Greedy,0,0,1,58,114,32.9375,0x501e,31.984375,0x4fff
Greedy,0,0,1,58,118,30.390625,0x4f99,29.0,0x4f40
Greedy,0,0,1,90,50,29.46875,0x4f5e,28.75,0x4f30
Greedy,0,0,1,90,54,29.578125,0x4f65,28.765625,0x4f31
Greedy,0,0,1,90,114,31.4375,0x4fdc,30.890625,0x4fb9
Greedy,0,0,1,90,118,27.625,0x4ee8,27.015625,0x4ec1
DistributedCTA,0,0,1,10,2,27.34375,0x4ed6,26.078125,0x4e85
DistributedCTA,0,0,1,10,6,27.859375,0x4ef7,26.765625,0x4eb1
DistributedCTA,0,0,1,10,66,25.515625,0x4e61,24.8125,0x4e34
DistributedCTA,0,0,1,10,70,27.671875,0x4eeb,26.390625,0x4e99
DistributedCTA,0,0,1,26,34,34.15625,0x5045,32.9375,0x501e
DistributedCTA,0,0,1,26,38,29.046875,0x4f43,27.953125,0x4efd
DistributedCTA,0,0,1,26,82,29.015625,0x4f41,28.03125,0x4f02
DistributedCTA,0,0,1,26,86,28.4375,0x4f1c,27.46875,0x4ede
DistributedCTA,0,0,1,42,34,32.21875,0x5007,30.5,0x4fa0
DistributedCTA,0,0,1,42,38,28.09375,0x4f06,26.875,0x4eb8
DistributedCTA,0,0,1,42,114,28.53125,0x4f22,27.375,0x4ed8
DistributedCTA,0,0,1,42,118,27.3125,0x4ed4,25.96875,0x4e7e
DistributedCTA,0,0,1,58,50,32.0625,0x5002,30.71875,0x4fae
DistributedCTA,0,0,1,58,54,31.296875,0x4fd3,30.09375,0x4f86
DistributedCTA,0,0,1,58,98,32.0,0x5000,30.734375,0x4faf
DistributedCTA,0,0,1,58,102,31.21875,0x4fce,29.703125,0x4f6d
DistributedBlock,0,0,1,10,2,27.34375,0x4ed6,26.078125,0x4e85
DistributedBlock,0,0,1,10,6,27.859375,0x4ef7,26.765625,0x4eb1
DistributedBlock,0,0,1,10,18,26.53125,0x4ea2,25.21875,0x4e4e
DistributedBlock,0,0,1,10,22,28.265625,0x4f11,27.125,0x4ec8
DistributedBlock,0,0,1,26,98,30.328125,0x4f95,29.734375,0x4f6f
DistributedBlock,0,0,1,26,102,29.875,0x4f78,28.84375,0x4f36
DistributedBlock,0,0,1,26,114,31.359375,0x4fd7,30.484375,0x4f9f
DistributedBlock,0,0,1,26,118,29.125,0x4f48,28.078125,0x4f05
DistributedBlock,0,0,1,42,66,27.015625,0x4ec1,25.78125,0x4e72
DistributedBlock,0,0,1,42,70,28.96875,0x4f3e,27.34375,0x4ed6
DistributedBlock,0,0,1,42,82,32.65625,0x5015,30.796875,0x4fb3
DistributedBlock,0,0,1,42,86,28.15625,0x4f0a,26.546875,0x4ea3
DistributedBlock,0,0,1,58,34,36.125,0x5084,34.59375,0x5053
DistributedBlock,0,0,1,58,38,29.828125,0x4f75,28.453125,0x4f1d
DistributedBlock,0,0,1,58,50,32.0625,0x5002,30.71875,0x4fae
DistributedBlock,0,0,1,58,54,31.296875,0x4fd3,30.09375,0x4f86
TwoLevelRoundRobin,0,0,2,2,10,29.0,0x4f40,29.078125,0x4f45
TwoLevelRoundRobin,0,0,2,2,14,31.171875,0x4fcb,31.25,0x4fd0
TwoLevelRoundRobin,0,0,2,18,10,29.734375,0x4f6f,29.8125,0x4f74
TwoLevelRoundRobin,0,0,2,18,14,33.40625,0x502d,33.46875,0x502f
TwoLevelRoundRobin,0,0,2,34,90,26.84375,0x4eb6,26.9375,0x4ebc
TwoLevelRoundRobin,0,0,2,34,94,25.421875,0x4e5b,25.546875,0x4e63
TwoLevelRoundRobin,0,0,2,50,26,28.578125,0x4f25,28.703125,0x4f2d
TwoLevelRoundRobin,0,0,2,50,30,29.609375,0x4f67,29.671875,0x4f6b
TwoLevelRoundRobin,0,0,2,66,58,33.78125,0x5039,33.9375,0x503e
TwoLevelRoundRobin,0,0,2,66,62,34.4375,0x504e,34.5,0x5050
TwoLevelRoundRobin,0,0,2,98,58,31.453125,0x4fdd,31.609375,0x4fe7
TwoLevelRoundRobin,0,0,2,98,62,27.296875,0x4ed3,27.359375,0x4ed7
TwoLevelRoundRobin,0,0,2,114,26,30.25,0x4f90,30.328125,0x4f95
TwoLevelRoundRobin,0,0,2,114,30,31.4375,0x4fdc,31.5,0x4fe0
GlobalRoundRobin,0,0,2,2,10,29.0,0x4f40,29.078125,0x4f45
GlobalRoundRobin,0,0,2,2,14,31.171875,0x4fcb,31.25,0x4fd0
GlobalRoundRobin,0,0,2,18,10,29.734375,0x4f6f,29.8125,0x4f74
GlobalRoundRobin,0,0,2,18,14,33.40625,0x502d,33.46875,0x502f
GlobalRoundRobin,0,0,2,34,74,28.4375,0x4f1c,28.46875,0x4f1e
GlobalRoundRobin,0,0,2,34,78,28.546875,0x4f23,28.640625,0x4f29
GlobalRoundRobin,0,0,2,66,58,33.78125,0x5039,33.9375,0x503e
GlobalRoundRobin,0,0,2,66,62,34.4375,0x504e,34.5,0x5050
GlobalRoundRobin,0,0,2,82,106,28.1875,0x4f0c,28.21875,0x4f0e
GlobalRoundRobin,0,0,2,82,110,29.75,0x4f70,29.84375,0x4f76
GlobalRoundRobin,0,0,2,98,10,29.828125,0x4f75,29.90625,0x4f7a
GlobalRoundRobin,0,0,2,98,14,29.046875,0x4f43,29.125,0x4f48
GlobalRoundRobin,0,0,2,114,10,32.5,0x5010,32.59375,0x5013
GlobalRoundRobin,0,0,2,114,14,33.4375,0x502e,33.5,0x5030
Greedy,0,0,2,2,10,29.0,0x4f40,29.078125,0x4f45
Greedy,0,0,2,2,14,31.171875,0x4fcb,31.25,0x4fd0
Greedy,0,0,2,2,74,28.6875,0x4f2c,28.734375,0x4f2f
Greedy,0,0,2,2,78,30.296875,0x4f93,30.390625,0x4f99
Greedy,0,0,2,50,58,32.71875,0x5017,32.84375,0x501b
Greedy,0,0,2,50,62,31.234375,0x4fcf,31.28125,0x4fd2
Greedy,0,0,2,82,58,32.5,0x5010,32.625,0x5014
Greedy,0,0,2,82,62,32.78125,0x5019,32.84375,0x501b
Greedy,0,0,2,114,58,34.0,0x5040,34.09375,0x5043
Greedy,0,0,2,114,62,32.59375,0x5013,32.625,0x5014
DistributedCTA,0,0,2,2,10,29.0,0x4f40,29.078125,0x4f45
DistributedCTA,0,0,2,2,14,31.171875,0x4fcb,31.25,0x4fd0
DistributedCTA,0,0,2,2,74,28.6875,0x4f2c,28.734375,0x4f2f
DistributedCTA,0,0,2,2,78,30.296875,0x4f93,30.390625,0x4f99
DistributedCTA,0,0,2,18,42,27.6875,0x4eec,27.75,0x4ef0
DistributedCTA,0,0,2,18,46,30.75,0x4fb0,30.78125,0x4fb2
DistributedCTA,0,0,2,18,90,29.34375,0x4f56,29.375,0x4f58
DistributedCTA,0,0,2,18,94,28.640625,0x4f29,28.75,0x4f30
DistributedCTA,0,0,2,34,42,28.046875,0x4f03,28.15625,0x4f0a
DistributedCTA,0,0,2,34,46,27.078125,0x4ec5,27.125,0x4ec8
DistributedCTA,0,0,2,50,58,32.71875,0x5017,32.84375,0x501b
DistributedCTA,0,0,2,50,62,31.234375,0x4fcf,31.28125,0x4fd2
DistributedCTA,0,0,2,50,106,28.15625,0x4f0a,28.1875,0x4f0c
DistributedCTA,0,0,2,50,110,28.59375,0x4f26,28.640625,0x4f29
DistributedBlock,0,0,2,2,10,29.0,0x4f40,29.078125,0x4f45
DistributedBlock,0,0,2,2,14,31.171875,0x4fcb,31.25,0x4fd0
DistributedBlock,0,0,2,2,26,29.09375,0x4f46,29.203125,0x4f4d
DistributedBlock,0,0,2,2,30,27.71875,0x4eee,27.765625,0x4ef1
DistributedBlock,0,0,2,18,106,27.453125,0x4edd,27.5,0x4ee0
DistributedBlock,0,0,2,18,110,30.3125,0x4f94,30.359375,0x4f97
DistributedBlock,0,0,2,34,74,28.4375,0x4f1c,28.46875,0x4f1e
DistributedBlock,0,0,2,34,78,28.546875,0x4f23,28.640625,0x4f29
DistributedBlock,0,0,2,34,90,26.84375,0x4eb6,26.9375,0x4ebc
DistributedBlock,0,0,2,34,94,25.421875,0x4e5b,25.546875,0x4e63
DistributedBlock,0,0,2,50,42,30.828125,0x4fb5,30.953125,0x4fbd
DistributedBlock,0,0,2,50,46,30.28125,0x4f92,30.34375,0x4f96
DistributedBlock,0,0,2,50,58,32.71875,0x5017,32.84375,0x501b
DistributedBlock,0,0,2,50,62,31.234375,0x4fcf,31.28125,0x4fd2
TwoLevelRoundRobin,0,0,3,12,10,30.5625,0x4fa4,30.59375,0x4fa6
TwoLevelRoundRobin,0,0,3,12,14,33.40625,0x502d,33.3125,0x502a
TwoLevelRoundRobin,0,0,3,28,10,32.84375,0x501b,32.875,0x501c
TwoLevelRoundRobin,0,0,3,28,14,33.625,0x5034,33.25,0x5028
TwoLevelRoundRobin,0,0,3,44,90,31.828125,0x4ff5,31.90625,0x4ffa
TwoLevelRoundRobin,0,0,3,44,94,30.03125,0x4f82,30.421875,0x4f9b
TwoLevelRoundRobin,0,0,3,60,26,28.765625,0x4f31,28.59375,0x4f26
TwoLevelRoundRobin,0,0,3,60,30,27.21875,0x4ece,26.984375,0x4ebf
TwoLevelRoundRobin,0,0,3,76,58,34.46875,0x504f,34.21875,0x5047
TwoLevelRoundRobin,0,0,3,76,62,32.1875,0x5006,31.46875,0x4fde
TwoLevelRoundRobin,0,0,3,108,58,30.265625,0x4f91,29.90625,0x4f7a
TwoLevelRoundRobin,0,0,3,108,62,30.4375,0x4f9c,29.921875,0x4f7b
GlobalRoundRobin,0,0,3,12,10,30.5625,0x4fa4,30.59375,0x4fa6
GlobalRoundRobin,0,0,3,12,14,33.40625,0x502d,33.3125,0x502a
GlobalRoundRobin,0,0,3,28,10,32.84375,0x501b,32.875,0x501c
GlobalRoundRobin,0,0,3,28,14,33.625,0x5034,33.25,0x5028
GlobalRoundRobin,0,0,3,44,74,31.28125,0x4fd2,31.421875,0x4fdb
