CTA_id,Cluster,SM,x,y
0,0,0,0,0
1,0,1,16,0
2,0,2,32,0
3,0,3,48,0
4,1,0,64,0
5,1,1,80,0
6,1,2,96,0
7,1,3,112,0
8,0,0,0,16
9,0,1,16,16
10,0,2,32,16
11,0,3,48,16
12,1,0,64,16
13,1,1,80,16
14,1,2,96,16
15,1,3,112,16
16,1,2,0,32
17,1,3,16,32
18,1,0,32,32
19,1,1,48,32
20,0,0,64,32
21,0,3,80,32
22,0,1,96,32
23,0,2,112,32
24,1,3,0,48
25,1,2,16,48
26,1,1,32,48
27,1,0,48,48
28,0,2,64,48
29,0,1,80,48
30,0,0,96,48
31,0,3,112,48
32,1,2,0,64
33,1,1,16,64
34,1,0,32,64
35,1,3,48,64
36,0,0,64,64
37,0,3,80,64
38,0,2,96,64
39,0,1,112,64
40,0,3,0,80
41,0,1,16,80
42,0,2,32,80
43,0,0,48,80
44,1,1,64,80
45,1,2,80,80
46,1,0,96,80
47,1,3,112,80
48,1,3,0,96
49,1,0,16,96
50,1,2,32,96
51,1,1,48,96
52,0,2,64,96
53,0,1,80,96
54,0,3,96,96
55,0,0,112,96
56,1,0,0,112
57,1,3,16,112
58,1,1,32,112
59,1,2,48,112
60,0,0,64,112
61,0,1,80,112
62,0,3,96,112
63,0,2,112,112
