CTA_id,Cluster,SM,x,y
0,0,0,0,0
1,0,1,16,0
2,0,2,32,0
3,0,3,48,0
4,0,0,64,0
5,0,1,80,0
6,0,2,96,0
7,0,3,112,0
8,0,1,0,16
9,0,3,16,16
10,0,0,32,16
11,0,2,48,16
12,0,2,64,16
13,0,0,80,16
14,0,1,96,16
15,0,3,112,16
16,0,0,0,32
17,0,2,16,32
18,0,3,32,32
19,0,1,48,32
20,0,0,64,32
21,0,3,80,32
22,0,2,96,32
23,0,1,112,32
24,0,0,0,48
25,0,3,16,48
26,0,1,32,48
27,0,2,48,48
28,0,2,64,48
29,0,0,80,48
30,0,1,96,48
31,0,3,112,48
32,1,0,0,64
33,1,1,16,64
34,1,2,32,64
35,1,3,48,64
36,1,0,64,64
37,1,1,80,64
38,1,2,96,64
39,1,3,112,64
40,1,1,0,80
41,1,0,16,80
42,1,2,32,80
43,1,3,48,80
44,1,2,64,80
45,1,0,80,80
46,1,1,96,80
47,1,3,112,80
48,1,1,0,96
49,1,3,16,96
50,1,0,32,96
51,1,2,48,96
52,1,0,64,96
53,1,2,80,96
54,1,3,96,96
55,1,1,112,96
56,1,2,0,112
57,1,1,16,112
58,1,3,32,112
59,1,0,48,112
60,1,2,64,112
61,1,0,80,112
62,1,1,96,112
63,1,3,112,112
