CTA_id,Cluster,SM,x,y
0,0,0,0,0
1,0,1,16,0
2,0,2,32,0
3,0,3,48,0
4,0,0,64,0
5,0,1,80,0
6,0,2,96,0
7,0,3,112,0
8,1,0,0,16
9,1,1,16,16
10,1,2,32,16
11,1,3,48,16
12,1,0,64,16
13,1,1,80,16
14,1,2,96,16
15,1,3,112,16
16,1,0,0,32
17,1,1,16,32
18,1,2,32,32
19,1,3,48,32
20,1,0,64,32
21,1,1,80,32
22,1,2,96,32
23,1,3,112,32
24,0,3,0,48
25,0,0,16,48
26,0,1,32,48
27,0,2,48,48
28,0,3,64,48
29,0,0,80,48
30,0,1,96,48
31,0,2,112,48
32,0,0,0,64
33,0,1,16,64
34,0,3,32,64
35,0,2,48,64
36,0,0,64,64
37,0,1,80,64
38,0,3,96,64
39,0,2,112,64
40,1,1,0,80
41,1,3,16,80
42,1,2,32,80
43,1,0,48,80
44,1,1,64,80
45,1,3,80,80
46,1,2,96,80
47,1,0,112,80
48,1,1,0,96
49,1,3,16,96
50,1,0,32,96
51,1,2,48,96
52,1,1,64,96
53,1,3,80,96
54,1,0,96,96
55,1,2,112,96
56,0,2,0,112
57,0,3,16,112
58,0,1,32,112
59,0,0,48,112
60,0,2,64,112
61,0,3,80,112
62,0,1,96,112
63,0,0,112,112
