CTA_id,Cluster,SM,x,y
0,0,0,0,0
1,0,1,0,16
2,0,2,0,32
3,0,3,0,48
4,0,4,0,64
5,0,5,0,80
6,0,6,0,96
7,0,7,0,112
8,0,4,0,128
9,0,3,0,144
10,0,0,0,160
11,0,1,0,176
12,0,2,0,192
13,0,6,0,208
14,0,5,16,0
15,0,7,16,16
16,0,6,16,32
17,0,5,16,48
18,0,4,16,64
19,0,7,16,80
20,0,0,16,96
21,0,1,16,112
22,0,2,16,128
23,0,3,16,144
24,0,6,16,160
25,0,1,16,176
26,0,7,16,192
27,0,0,16,208
28,0,3,32,0
29,0,2,32,16
30,0,4,32,32
31,0,5,32,48
32,0,5,32,64
33,0,6,32,80
34,0,7,32,96
35,0,0,32,112
36,0,1,32,128
37,0,2,32,144
38,0,4,32,160
39,0,3,32,176
40,0,4,32,192
41,0,2,32,208
42,0,5,48,0
43,0,7,48,16
44,0,6,48,32
45,0,1,48,48
46,0,3,48,64
47,0,0,48,80
48,0,5,48,96
49,0,0,48,112
50,0,2,48,128
51,0,7,48,144
52,0,3,48,160
53,0,1,48,176
54,0,6,48,192
55,0,4,48,208
56,0,5,64,0
57,0,2,64,16
58,0,1,64,32
59,0,3,64,48
60,0,0,64,64
61,0,6,64,80
62,0,7,64,96
63,0,4,64,112
64,0,1,64,128
65,0,6,64,144
66,0,3,64,160
67,0,7,64,176
68,0,5,64,192
69,0,4,64,208
70,0,2,80,0
71,0,0,80,16
72,0,6,80,32
73,0,2,80,48
74,0,3,80,64
75,0,1,80,80
76,0,7,80,96
77,0,0,80,112
78,0,4,80,128
79,0,5,80,144
80,0,1,80,160
81,0,6,80,176
82,0,0,80,192
83,0,7,80,208
84,0,5,96,0
85,0,3,96,16
86,0,4,96,32
87,0,2,96,48
88,0,5,96,64
89,0,0,96,80
90,0,4,96,96
91,0,2,96,112
92,0,6,96,128
93,0,7,96,144
94,0,1,96,160
95,0,3,96,176
96,0,6,96,192
97,0,2,96,208
98,1,0,112,0
99,1,1,112,16
100,1,2,112,32
101,1,3,112,48
102,1,4,112,64
103,1,5,112,80
104,1,6,112,96
105,1,7,112,112
106,1,6,112,128
107,1,1,112,144
108,1,4,112,160
109,1,2,112,176
110,1,5,112,192
111,1,3,112,208
112,1,0,128,0
113,1,7,128,16
114,1,6,128,32
115,1,7,128,48
116,1,0,128,64
117,1,4,128,80
118,1,2,128,96
119,1,5,128,112
120,1,1,128,128
121,1,3,128,144
122,1,4,128,160
123,1,5,128,176
124,1,7,128,192
125,1,3,128,208
126,1,2,144,0
127,1,0,144,16
128,1,6,144,32
129,1,1,144,48
130,1,4,144,64
131,1,0,144,80
132,1,7,144,96
133,1,6,144,112
134,1,3,144,128
135,1,2,144,144
136,1,1,144,160
137,1,5,144,176
138,1,3,144,192
139,1,5,144,208
140,1,0,160,0
141,1,1,160,16
142,1,7,160,32
143,1,6,160,48
144,1,4,160,64
145,1,2,160,80
146,1,4,160,96
147,1,1,160,112
148,1,7,160,128
149,1,2,160,144
150,1,0,160,160
151,1,3,160,176
152,1,5,160,192
153,1,6,160,208
154,1,7,176,0
155,1,6,176,16
156,1,1,176,32
157,1,4,176,48
158,1,0,176,64
159,1,3,176,80
160,1,5,176,96
161,1,2,176,112
162,1,6,176,128
163,1,0,176,144
164,1,2,176,160
165,1,3,176,176
166,1,5,176,192
167,1,1,176,208
168,1,4,192,0
169,1,7,192,16
170,1,7,192,32
171,1,6,192,48
172,1,4,192,64
173,1,0,192,80
174,1,5,192,96
175,1,2,192,112
176,1,3,192,128
177,1,1,192,144
178,1,0,192,160
179,1,6,192,176
180,1,4,192,192
181,1,1,192,208
182,1,5,208,0
183,1,3,208,16
184,1,7,208,32
185,1,2,208,48
186,1,0,208,64
187,1,4,208,80
188,1,2,208,96
189,1,7,208,112
190,1,1,208,128
191,1,6,208,144
192,1,5,208,160
193,1,3,208,176
194,1,2,208,192
195,1,3,208,208
