CTA_id,Cluster,SM,x,y
0,0,0,0,0
1,0,0,0,16
2,0,1,0,32
3,0,1,0,48
4,0,2,0,64
5,0,2,0,80
6,0,3,0,96
7,0,3,0,112
8,0,1,0,128
9,0,1,0,144
10,0,0,0,160
11,0,0,0,176
12,0,3,0,192
13,0,3,16,0
14,0,2,16,16
15,0,2,16,32
16,0,3,16,48
17,0,3,16,64
18,0,2,16,80
19,0,2,16,96
20,0,0,16,112
21,0,0,16,128
22,0,1,16,144
23,0,1,16,160
24,0,3,16,176
25,0,3,16,192
26,0,0,32,0
27,0,0,32,16
28,0,2,32,32
29,0,2,32,48
30,0,1,32,64
31,0,1,32,80
32,0,2,32,96
33,0,2,32,112
34,0,3,32,128
35,0,3,32,144
36,0,1,32,160
37,0,1,32,176
38,0,0,32,192
39,0,0,48,0
40,0,2,48,16
41,0,2,48,32
42,0,1,48,48
43,0,1,48,64
44,0,3,48,80
45,0,3,48,96
46,0,0,48,112
47,0,0,48,128
48,0,0,48,144
49,0,0,48,160
50,0,1,48,176
51,0,1,48,192
52,0,2,64,0
53,0,2,64,16
54,0,3,64,32
55,0,3,64,48
56,0,1,64,64
57,0,1,64,80
58,0,0,64,96
59,0,0,64,112
60,0,3,64,128
61,0,3,64,144
62,0,2,64,160
63,0,2,64,176
64,0,2,64,192
65,0,2,80,0
66,0,0,80,16
67,0,0,80,32
68,0,3,80,48
69,0,3,80,64
70,0,1,80,80
71,0,1,80,96
72,1,0,80,112
73,1,0,80,128
74,1,1,80,144
75,1,1,80,160
76,1,2,80,176
77,1,2,80,192
78,1,3,96,0
79,1,3,96,16
80,1,0,96,32
81,1,0,96,48
82,1,1,96,64
83,1,1,96,80
84,1,2,96,96
85,1,2,96,112
86,1,3,96,128
87,1,3,96,144
88,1,2,96,160
89,1,2,96,176
90,1,0,96,192
91,1,0,112,0
92,1,1,112,16
93,1,1,112,32
94,1,3,112,48
95,1,3,112,64
96,1,1,112,80
97,1,1,112,96
98,1,2,112,112
99,1,2,112,128
100,1,3,112,144
101,1,3,112,160
102,1,0,112,176
103,1,0,112,192
104,1,0,128,0
105,1,0,128,16
106,1,1,128,32
107,1,1,128,48
108,1,3,128,64
109,1,3,128,80
110,1,2,128,96
111,1,2,128,112
112,1,3,128,128
113,1,3,128,144
114,1,1,128,160
115,1,1,128,176
116,1,2,128,192
117,1,2,144,0
118,1,0,144,16
119,1,0,144,32
120,1,0,144,48
121,1,0,144,64
122,1,3,144,80
123,1,3,144,96
124,1,2,144,112
125,1,2,144,128
126,1,1,144,144
127,1,1,144,160
128,1,0,144,176
129,1,0,144,192
130,1,3,160,0
131,1,3,160,16
132,1,2,160,32
133,1,2,160,48
134,1,1,160,64
135,1,1,160,80
136,1,0,160,96
137,1,0,160,112
138,1,3,160,128
139,1,3,160,144
140,1,2,160,160
141,1,2,160,176
142,1,1,160,192
