CTA_id,Cluster,SM,x,y
0,0,0,0,0
1,0,1,0,16
2,0,2,0,32
3,0,3,0,48
4,0,4,0,64
5,0,5,0,80
6,0,6,0,96
7,1,0,0,112
8,1,1,16,0
9,1,2,16,16
10,1,3,16,32
11,1,4,16,48
12,1,5,16,64
13,1,6,16,80
14,0,5,16,96
15,0,4,16,112
16,0,2,32,0
17,0,0,32,16
18,0,3,32,32
19,0,1,32,48
20,0,6,32,64
21,1,3,32,80
22,1,6,32,96
23,1,5,32,112
24,1,1,48,0
25,1,4,48,16
26,1,2,48,32
27,1,0,48,48
28,0,1,48,64
29,0,2,48,80
30,0,3,48,96
31,0,0,48,112
32,0,6,64,0
33,0,5,64,16
34,0,4,64,32
35,1,0,64,48
36,1,2,64,64
37,1,3,64,80
38,1,6,64,96
39,1,1,64,112
40,1,5,80,0
41,1,4,80,16
42,1,3,80,32
43,1,4,80,48
44,1,1,80,64
45,1,5,80,80
46,1,6,80,96
47,1,0,80,112
48,1,2,96,0
49,0,4,96,16
50,0,5,96,32
51,0,1,96,48
52,0,3,96,64
53,0,6,96,80
54,0,0,96,96
55,0,2,96,112
56,0,1,112,0
57,0,0,112,16
58,0,2,112,32
59,0,5,112,48
60,0,4,112,64
61,0,3,112,80
62,0,6,112,96
63,1,1,112,112
