CTA_id,Cluster,SM,x,y
0,0,0,0,0
1,0,1,0,16
2,0,2,0,32
3,0,3,0,48
4,0,0,0,64
5,0,1,0,80
6,0,2,0,96
7,0,3,0,112
8,1,0,16,0
9,1,1,16,16
10,1,2,16,32
11,1,3,16,48
12,1,0,16,64
13,1,1,16,80
14,1,2,16,96
15,1,3,16,112
16,0,1,32,0
17,0,3,32,16
18,0,0,32,32
19,0,2,32,48
20,0,1,32,64
21,0,3,32,80
22,0,0,32,96
23,0,2,32,112
24,1,2,48,0
25,1,1,48,16
26,1,0,48,32
27,1,3,48,48
28,1,2,48,64
29,1,1,48,80
30,1,0,48,96
31,1,3,48,112
32,1,3,64,0
33,1,1,64,16
34,1,2,64,32
35,1,0,64,48
36,1,3,64,64
37,1,1,64,80
38,1,2,64,96
39,1,0,64,112
40,0,2,80,0
41,0,0,80,16
42,0,3,80,32
43,0,1,80,48
44,0,2,80,64
45,0,0,80,80
46,0,3,80,96
47,0,1,80,112
48,1,1,96,0
49,1,2,96,16
50,1,0,96,32
51,1,3,96,48
52,1,1,96,64
53,1,2,96,80
54,1,0,96,96
55,1,3,96,112
56,0,2,112,0
57,0,3,112,16
58,0,0,112,32
59,0,1,112,48
60,0,2,112,64
61,0,3,112,80
62,0,0,112,96
63,0,1,112,112
