CTA_id,Cluster,SM,x,y
0,0,0,0,0
1,1,0,0,16
2,0,1,0,32
3,1,1,0,48
4,0,2,0,64
5,1,2,0,80
6,0,3,0,96
7,1,3,0,112
8,0,0,0,128
9,1,0,0,144
10,0,1,0,160
11,1,1,0,176
12,0,2,16,0
13,1,2,16,16
14,0,3,16,32
15,1,3,16,48
16,0,2,16,64
17,1,1,16,80
18,0,3,16,96
19,1,3,16,112
20,0,0,16,128
21,1,2,16,144
22,0,1,16,160
23,1,0,16,176
24,1,1,32,0
25,0,0,32,16
26,1,0,32,32
27,0,2,32,48
28,1,2,32,64
29,0,1,32,80
30,1,3,32,96
31,0,3,32,112
32,1,1,32,128
33,0,1,32,144
34,1,3,32,160
35,0,0,32,176
36,1,2,48,0
37,0,3,48,16
38,1,0,48,32
39,0,2,48,48
40,1,2,48,64
41,0,1,48,80
42,1,1,48,96
43,0,2,48,112
44,1,3,48,128
45,0,0,48,144
46,1,0,48,160
47,0,3,48,176
48,0,3,64,0
49,1,0,64,16
50,0,2,64,32
51,1,2,64,48
52,0,0,64,64
53,1,3,64,80
54,0,1,64,96
55,1,1,64,112
56,0,1,64,128
57,1,0,64,144
58,0,0,64,160
59,1,2,64,176
60,0,3,80,0
61,1,3,80,16
62,0,2,80,32
63,1,1,80,48
64,1,3,80,64
65,0,1,80,80
66,1,1,80,96
67,0,0,80,112
68,1,2,80,128
69,0,3,80,144
70,1,0,80,160
71,0,2,80,176
72,1,0,96,0
73,0,0,96,16
74,1,3,96,32
75,0,3,96,48
76,1,1,96,64
77,0,2,96,80
78,1,2,96,96
79,0,1,96,112
80,1,0,96,128
81,0,0,96,144
82,1,3,96,160
83,0,2,96,176
84,1,2,112,0
85,0,1,112,16
86,1,1,112,32
87,0,3,112,48
88,0,0,112,64
89,1,0,112,80
90,0,3,112,96
91,1,2,112,112
92,0,1,112,128
93,1,3,112,144
94,0,2,112,160
95,1,1,112,176
