CTA_id,Cluster,SM,x,y
0,0,0,0,0
1,1,0,0,16
2,0,1,0,32
3,1,1,0,48
4,0,2,0,64
5,1,2,0,80
6,0,3,0,96
7,1,3,0,112
8,0,4,16,0
9,1,4,16,16
10,0,5,16,32
11,1,5,16,48
12,0,6,16,64
13,1,6,16,80
14,0,7,16,96
15,1,7,16,112
16,1,5,32,0
17,0,0,32,16
18,1,3,32,32
19,0,3,32,48
20,1,2,32,64
21,0,6,32,80
22,1,6,32,96
23,0,2,32,112
24,1,0,48,0
25,0,5,48,16
26,1,7,48,32
27,0,4,48,48
28,1,1,48,64
29,0,7,48,80
30,1,4,48,96
31,0,1,48,112
32,0,2,64,0
33,1,2,64,16
34,0,4,64,32
35,1,3,64,48
36,0,3,64,64
37,1,0,64,80
38,0,7,64,96
39,1,7,64,112
40,0,1,80,0
41,1,6,80,16
42,0,5,80,32
43,1,4,80,48
44,0,6,80,64
45,1,1,80,80
46,0,0,80,96
47,1,5,80,112
48,0,3,96,0
49,1,6,96,16
50,0,2,96,32
51,1,5,96,48
52,0,5,96,64
53,1,4,96,80
54,0,7,96,96
55,1,2,96,112
56,0,1,112,0
57,1,1,112,16
58,0,0,112,32
59,1,0,112,48
60,0,4,112,64
61,1,3,112,80
62,0,6,112,96
63,1,7,112,112
